12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
By comparison with symmetric processes (e.g. DES), however, public-key encryption requires much more PC calculation time or the use of rapid, large-scale computers.	Par rapport aux procédés symétriques (par exemple DES) le cryptage au moyen d'une clé publique nécessite un délai de calcul beaucoup plus long ou le recours à des machines puissantes et rapides.
Public-key encryption for private individuals	Cryptage par public–key pour les particuliers
In order to make the public-key process generally accessible, Phil Zimmermann came up with the idea of linking the public-key process, which involves a great deal of calculation, with a faster symmetric process.	Afin de rendre le système de public–key accessible à tous, Phil Zimmerman eut l'idée d'associer audit système, très exigeant du point de vue du calcul, un dispositif symétrique plus rapide.
The message itself should be encrypted using an asymmetric process, the IDEA process developed in Zurich, but the key to the symmetric encryption would be exchanged at the same time, as in the public-key process.	L'information est codée au moyen d'un système symétrique – le système IDEA développé à Zurich – cependant que la clé de cryptage symétrique est transmise simultanément grâce au système de public–key.
Zimmermann developed a user-friendly programme (Pretty Good Privacy) which created the requisite key and carried out the encryption at the push of a button (or the click of a mouse).	Zimmerman créa un programme convivial – dénommé Pretty Good Privacy – qui créait les clés nécessaires en cliquant et opérait le cryptage.
The programme was placed on the Internet, from where anyone could download it.	Le programme fut mis sur Internet, ce qui permettait à tout un chacun de le charger.
PGP was ultimately bought by the US firm NAI, but is still made available to private individuals free of charge Information on the software can be found at www.pgpi.com. .	PGP fut finalement racheté par l'entreprise américaine NAI mais toujours mis gratuitement à la disposition des particuliers Pour des informations sur le logiciel: voir www.pgpi.com. .
The source text for the earlier versions has been published, so it can be assumed that no backdoors have been incorporated.	Le code d'origine des premières versions a été publié, de sorte que l'on peut considérer qu'il n'y a pas de "porte de derrière".
Unfortunately, the source texts for the newest version, PGP 7, which is characterised by an exceptionally user-friendly graphic interface, are no longer published.	Le code d'origine de la nouvelle version PGP 7, qui se caractérise par un graphisme convivial, n'est malheureusement plus publié.
There is, however, a further implementation of the Open PGP Standard: GnuPG.	Il existe toutefois une autre application de la norme ouverte PGP, à savoir GnuPG.
GnuPG offers the same encryption methods as PGP, and is also compatible with PGP.	Celle‑ci offre les mêmes méthodes de cryptage que PGP et est compatible avec PGP.
The Federal German Ministry for Economic Affairs and Technology has promoted the porting of GnuPG on Windows and the development of a graphic interface; unfortunately, however, these functions have not yet been fully developed.	Le ministère fédéral de l'économie et de la technologie a soutenu la possibilité d'importer GnuPG sur Windows ainsi que le développement de l'aspect graphique mais les efforts en ce sens n'ont pas encore abouti.
According to the information available to your rapporteur, work is continuing.	D'après les informations dont dispose le rapporteur, ils se poursuivent.
There are also rival standards to OpenPGP, such as S/MIME, which are supported by many e‑mail programmes.	Il existe des normes concurrentes telles que S/MIME à laquelle adhèrent nombre de programmes de courrier électronique.
Here, your rapporteur has no information on free implementation.	Le rapporteur ne dispose d'aucune information concernant l'accès libre à ces solutions.
Future processes	Méthodes à venir
If polarised photons are transmitted, the fact of their polarisation cannot be established without altering that polarisation.	Si l'on envoie des photons polarisés, la polarisation ne peut être constatée sans la modifier.
Eavesdroppers on the line could thus be detected with 100% certainty.	Les intrus peuvent donc être détectés à coup sûr.
Only those keys which had not been intercepted would then be used.	Seule une clé qui n'a pas été interceptée est donc employée.
In experiments, transmission over 48 km via fibreoptic cable and over 500 m through the air has already been achieved On quantum cryptology, see Reinhard Wobst , Abenteuer Kryptographie2, Adison-Wesley (1998), 224 et seq. .	Lors des essais, des transmissions sur 48 km de fibres optiques et sur 500 mètres dans l'atmosphère ont été couronnées de succès Voir Reinhard Wobst , Abenteuer Kryptographie2 , Adison-Wesley (1998), pp.234 et ss. .
In the discussion on the actual level of security of encryption processes the accusation has repeatedly been made that American products contain backdoors.	Dans le débat sur la sécurité réelle du cryptage, est sans cesse soulevé le problème que le produits américains comportent des "portes dérobées" (backdoors).
For example, Excel made headlines here in Europe when it was suggested that in the European version of its programme half the key is revealed in the file header.	Excel, par exemple, a fait la une des journaux: il a été avancé que dans la version européenne, la moitié de la clé apparaissait en clair dans le header.
Microsoft also gained media attention when a hacker claimed to have discovered an ‘NSA key’ hidden in the programme, a claim which was of course strongly denied by Microsoft.	Microsoft a également attiré l'attention de la presse car un hacker a trouvé une clé NSA dans le programme, ce que Microsoft dément évidemment avec la dernière énergie.
Since Microsoft has not revealed its source code, any assessment amounts to pure speculation.	Étant donné que Microsoft n'a pas publié son code source, porter un jugement sur la question relève de la spéculation.
At all events, the earlier versions of PGP and GnuPG can be said with a great degree of certainty not to contain such a backdoor, since their source text has been disclosed.	En ce qui concerne les versions antérieures de PGP et de GnuPG, on peut exclure la présence d'une telle "backdoor" étant donné que le code source a été publié.
Attempts to restrict encryption	Tentatives de limitation du cryptage
Many states initially ban the use of encryption software or cryptographic equipment and make exceptions only subject to prior authorisation.	Certains pays interdisent l'utilisation de logiciels de cryptage ou d'appareils de cryptage et soumettent les dérogations à autorisation.
The states concerned are not just dictatorships such as China, Iran or Iraq.	Il s'agit notamment, mais pas seulement, de dictatures comme la Chine, l'Iran ou l'Irak.
Democratic states have also imposed legal restrictions on the use or purchase of encryption programmes or equipment.	Les pays démocratiques aussi ont limité par la voie législative l'utilisation ou la vente de programmes ou de machines de cryptage.
It would appear that communications are to be protected against being read by unauthorised private individuals, but that the state should retain the possibility of intercepting such communications, if necessary on the basis of specific legal provisions.	Les communications doivent être protégées des intrusions de particuliers mais l'État doit conserver la possibilité de procéder le cas échéant à des écoutes en toute légalité.
The authorities’ loss of technical superiority is thus made good by means of legal bans.	La perte de supériorité technique des autorités doit être compensée par des interdictions juridiques.
For example, until recently France imposed a general ban on the use of cryptography, granting authorisations only in individual cases.	C'est ainsi que la France a frappé d'une interdiction générale l'utilisation de la cryptographie, la subordonnant à autorisation au cas par cas.
A few years ago in Germany a debate arose concerning restrictions on encryption and the compulsory submission of a key to the authorities.	En Allemagne, il y a eu débat voici quelques années sur la limitation du cryptage.
In the past, the USA has taken a different course, imposing restrictions on key length.	Les États‑Unis quant à eux ont limité la longueur des clés.
The significance of secure encryption for e-commerce	Importance d'un cryptage sûr pour le commerce électronique
By now, these attempts should have been shown, once and for all, to be futile.	Aujourd'hui, ces tentatives ont peut-être échoué définitivement.
The state’s interest in having access to encryption processes and thus to the plain texts does not only stand in opposition to the right to privacy, but also to entrenched economic interests.	Au souci de l'État d'accéder au décryptage et, partant, aux textes en clair, s'opposent non seulement le droit au respect de la vie privée mais aussi des intérêts économiques concrets.
E-commerce and electronic banking are dependent on secure communications via the Internet.	En effet, le commerce et la banque électronique sont tributaires de communications sûres sur Internet.
If this cannot be guaranteed, these techniques are doomed to failure, owing to a lack of customer confidence.	Si cela ne peut être garanti, ces formules sont vouées à l'échec car la confiance du client n'est plus assurée.
This link explains the about-turn in US or French policy on cryptography.	Ce lien explique la mutation de la politique américano–française en matière de cryptage.
It should be pointed out here that there are two reasons why e-commerce needs secure encryption processes: not only in order to encrypt messages, but also to prove beyond doubt the identity of business partners.	Il convient de faire observer ici que le commerce électronique a besoin de méthodes de cryptage sûres pour deux raisons: il faut non seulement crypter l'information, mais aussi pouvoir établir avec certitude l'identité du partenaire.
The electronic signature procedure can be carried out using a reversal of the public-key process: the private key is used to encrypt the signature, and the public key to decrypt it.	La signature électronique peut passer par l'application inverse du procédé de public–key: la clé privée est utilisée pour crypter, la clé publique pour décrypter.
This form of encryption confirms the authenticity of the signature.	Cette forme de cryptage confirme l'authenticité de la signature.
Through the use of the public key, any individual can convince another of his or her genuineness, but he or she cannot imitate the signature itself.	Il est possible de se convaincre de l'identité d'une personne en utilisant la clé publique, mais la signature ne peut être imitée.
This function is also built into PGP as an additional user-friendly feature.	PGP offre également cette fonction.
Problems for business travellers	Problème des hommes d'affaires en déplacement
Practical issues in connection with encryption	Problèmes pratiques du cryptage
When answering the question of what persons, and under what circumstances, should be advised to employ encryption, a distinction must be drawn between private individuals and firms.	S'agissant du problème des personnes qui peuvent avoir accès au cryptage, il semble opportun d'établir une distinction entre particuliers et entreprises.
As far as private individuals are concerned, it must be clearly stated that the encryption of fax and telephone messages using a cryptotelephone or cypherfax is not really a workable option, not only because the cost of purchasing such equipment is relatively high, but also because their use presupposes that the interlocutor also has such equipment available, which is doubtless only very rarely the case.	Pour ce qui est des particuliers, il faut souligner que le cryptage de fax ou de conversations téléphoniques par cryptotéléphone ou fax crypté n'est pas faisable, notamment parce que les frais d'acquisition de ces dispositifs sont relativement élevés, mais aussi parce que leur utilisation suppose que le partenaire dispose du même équipement, ce qui n'est que très rarement le cas.
In contrast, e-mails can and should be encrypted by everyone.	Le courrier électronique doit pouvoir être crypté par tout un chacun.
The oft-repeated claim that a person has no secrets and thus has no need to encrypt messages must be countered by pointing out that written messages are not normally sent on postcards.	À l'affirmation selon laquelle il n'y a pas de secret et, partant, rien à crypter, on peut répondre que les informations écrites ne sont normalement pas envoyées sur carte postale.
However, an unencrypted e-mail is nothing other than a letter without an envelope.	Le cryptage du courrier électronique est sûr et ne pose pas de problème.
The encryption of e-mails is secure and relatively straightforward and user-friendly systems, such as PGP/GnuPG, are already available, even free of charge, to private individuals on the Internet.	Sur Internet, on trouve déjà des systèmes conviviaux tels que PGP/GnuPG, qui sont même mis gratuitement à la disposition des particuliers.
Unfortunately, they are not yet sufficiently widely distributed.	Malheureusement, ils ne sont pas encore répandus.
The public authorities should set a good example and themselves employ encryption as a standard practice in order to demystify the process.	Il serait souhaitable que les pouvoirs publics montrent l'exemple et fassent du cryptage la règle afin de le démythifier.
As far as firms are concerned, they should take strict measures to ensure that sensitive information is only transmitted via secure media.	En ce qui concerne les entreprises, il est indispensable que des informations sensibles ne soient transmises que grâce à des moyens de communication sûrs.
This may seem obvious, and no doubt is for large undertakings, but in small- and medium-sized firms in particular internal information is often transmitted via unencrypted e-mails, because awareness of the problem is not sufficiently well developed.	Cela paraît évident, notamment pour les grandes entreprises, mais aussi pour les petites et les moyennes qui transmettent souvent par e‑mail, sans cryptage, des informations internes et ce parce qu'elles ne sont pas suffisamment sensibilisées au problème.
In this connection, it can only be hoped that industry associations and chambers of commerce will step up their efforts to increase that awareness.	Il est à espérer que les associations professionnelles et les chambres économiques redoubleront leurs efforts d'information.
Admittedly, the encryption of e-mails is only one security aspect amongst many, and serves no purpose if the information is made available to others prior to encryption.	Certes, le cryptage du courrier électronique n'est qu'un aspect de sécurité parmi de nombreux autres et il ne sert à rien lorsque l'information est accessible à des tiers avant d'avoir été cryptée.
The implication is that the entire working environment must be protected, thereby guaranteeing the security of a firm’s premises, and checks must be carried out on persons entering offices and accessing computers.	En d'autres termes, il faut sécuriser l'ensemble de l'environnement de travail afin d'assurer la sécurité des locaux et de contrôler l'accès physique aux bureaux et aux ordinateurs.
In addition, unauthorised access to information via the firm’s network must be prevented by means of the introduction of corresponding firewalls.	Il faut aussi empêcher au moyen de fire‑walls l'accès non autorisé à l'information via le réseau.
Here, particular dangers are posed by the linking of the firm’s internal network and the Internet.	L'interconnexion du réseau interne et d'Internet constitue un danger particulier.
Firms are thus faced with a wide variety of tasks in the security sphere.	Les entreprises ont donc beaucoup à faire dans le domaine de la sécurité.
In addition, however, it must be hoped that industry associations and chambers of commerce take up this issue, particularly in order to draw the attention of small firms to the problem of security and to support efforts to devise and implement comprehensive protection arrangements.	Par ailleurs, il est à espérer que les associations professionnelles et les chambres économiques vont s'atteler à ce problème afin d'y sensibiliser les petites entreprises et de les aider à définir et à mettre en place un schéma global de protection.
The EU’s external relations and intelligence gathering 12.1.	Relations extérieures de l'UE et collecte de renseignements 12.1.
With the adoption of the Maastricht Treaty in 1991, the Common Foreign and Security Policy (CFSP) was established in its most elementary form as a new policy instrument for the European Union.	L'adoption du traité de Maastricht en 1991 a marqué la mise en place de la politique étrangère et de sécurité commune (PESC), nouvel instrument politique de l'Union européenne.
Six years later the Amsterdam Treaty gave further structure to the CFSP and created the possibility for common defence initiatives within the European Union, whilst maintaining the existing alliances.	Six ans plus tard, le traité d'Amsterdam étoffait la structure de la PESC et créait la possibilité d'initiatives de défense commune au sein de l'Union, sans préjudice des alliances existantes.
On the basis of the Amsterdam Treaty and with the experiences in Kosovo in mind, the Helsinki European Council of December 1999 launched the European Security and Defence Initiative.	Sur la base du traité d'Amsterdam et compte tenu de l'expérience du Kosovo, le Conseil européen de décembre 1999 (Helsinki) a lancé l'initiative de sécurité et de défense européenne.
This initiative aims at the creation of a multinational force of between 50 000 and 60 000 troops by the second half of 2003.	Cette initiative vise la création d'une force multinationale de 50 à 60 000 hommes pour la deuxième moitié de 2003.
The existence of such a multinational force will make the development of an autonomous intelligence capacity inevitable.	L'existence de cette force multinationale rendra inévitable la mise en place d'une capacité autonome en matière de renseignements.
The simple integration of the existing WEU intelligence capacity will be insufficient for this purpose.	La simple intégration de celle de l'UEO serait insuffisante.
Further cooperation between the intelligence agencies of the Member States, well beyond the existing forms of cooperation, cannot be avoided.	Un renforcement de la coopération entre les services de renseignements des États membres allant bien au‑delà de ce qui se fait actuellement, est inévitable.
However, the further development of the CFSP is not the only factor leading to closer cooperation among the Union’s intelligence services.	Toutefois, le développement de la PESC n'est pas le seul élément qui devrait aboutir au renforcement de la coopération entre les services de renseignements de l'Union.
Further economic integration within the European Union will likewise necessitate a more intensive cooperation in the field of intelligence collection.	Les progrès de l'intégration économique eux aussi rendent cette démarche nécessaire.
A united European economic policy implies a united perception of economic reality in the world outside the European Union.	Une politique économique commune suppose une perception commune de la réalité économique à l'extérieur de l'Union.
A united position in trade negotiations within the WTO or with third countries calls for joint protection of the negotiating position.	Une position commune dans les négociations commerciales menées au sein de l'OMC ou avec les pays tiers suppose une protection commune.
Strong European industries need joint protection against economic espionage from outside the European Union.	Des entreprises fortes en Europe supposent une protection commune contre l'espionnage économique venant de l'extérieur.
It must finally be emphasised that further development of the Union’s second pillar and the Union’s activities in the field of Justice and Home Affairs will inevitably also lead to further cooperation between intelligence services.	Enfin, il convient de souligner que le développement du deuxième pilier et des activités de l'Union dans le domaine de la justice et des affaires intérieures doit également déboucher sur un renforcement de la coopération entre les services de renseignements.
In particular, the joint fight against terrorism, illegal trade in arms, trafficking of human beings, and money laundering cannot take place without intensive cooperation between intelligence services.	La lutte contre le terrorisme, contre le trafic illicite d'armes, contre le trafic d'êtres humains et contre le blanchiment de l'argent ne peut se faire sans une coopération poussée entre les services de renseignements.
Scope for cooperation within the EU	Possibilités de coopération au sein de l'UE
Existing cooperation Charles Grant, Intimate relations.	La coopération actuelle Charles Grant, Intimate relations.
Can Britain play a leading role in European defence - and keep its special links to US intelligence? 4.2000, Centre for European Reform	Can Britain play a leading role in European defence - and keep its special links to US intelligence? 4.2000, Centre for European Reform
Frequent contacts do exist within the framework of NATO, the WEU and within the European Union.	Des contacts fréquents ont lieu dans le cadre de l'OTAN, de l'UEO et de l'Union européenne.
And whereas, within the framework of NATO, the intelligence services are still heavily dependent on the far more sophisticated contributions from the United States, the establishment of the WEU satellite centre in Torrejon (Spain) and the creation of an intelligence section attached to the WEU headquarters have contributed to more autonomous European action in this field.	Si les services de renseignements de l'OTAN restent largement tributaires de l'apport considérable des États‑Unis, la création du centre de satellites de l'UEO à Torrejon (Espagne) et celle d'une section de renseignements au niveau du quartier général de l'UEO ont contribué à rendre l'Europe autonome dans ce domaine.
Advantages of a joint European intelligence policy	Avantages d'une politique commune dans le domaine du renseignement
In addition to these developments already taking place, it must be emphasised that there are objective advantages to a joint European intelligence policy.	Abstraction faite de l'évolution qui s'opère, il faut souligner les avantages que présenterait une politique commune en matière de renseignement.
Practical advantages	Avantages pratiques
First of all there is simply too much classified and unclassified material available to be collected, analysed, and evaluated by any single agency or under any single bilateral agreement in Western Europe.	Premièrement, les informations secrètes ou non à collecter, à analyser et à évaluer sont trop nombreuses pour un seul organisme ou pour faire l'objet d'accords bilatéraux en Europe occidentale.
The demands on intelligence services range from defence intelligence, through intelligence on third states’ internal and international economic policies, to intelligence in support of the fight against organised crime and drug trafficking.	Les activités des services de renseignements englobent la défense, les politiques économiques nationales et internationales, la lutte contre la criminalité et le trafic de la drogue.
Even if cooperation existed only on the most basic level, i.e. as regards the collection of open-source intelligence (OSINT), the results of this cooperation would already be of great importance for the European Union’s policies.	Même si elle n'existait qu'au niveau élémentaire, par exemple pour la collecte des renseignements (OSINT), la coopération donnerait des résultats d'une grande importance sous l'angle des politiques de l'Union.
Budgetary advantages	Avantages financiers
In the recent past budgets for intelligence collection have been cut and, in some cases, are still being reduced.	Dans le passé récent, les budgets du renseignement ont fait l'objet de coupes sombres, démarche qui, dans certains cas, se poursuit.
At the same time, the demand for information and therefore intelligence has grown.	Simultanément, la demande d'informations a grandi.
These reduced budgets do not only make this cooperation desirable but, in the long run, also profitable.	Il s'ensuit que la coopération serait non seulement possible, mais, à court terme, avantageuse.
In particular, in the case of establishing and maintaining technical facilities, joint operations are of interest when money is scarce but also when it comes to evaluating the collected information.	Elle serait intéressante notamment pour la mise en place et l'entretien d'infrastructures techniques ainsi que dans le domaine de l'évaluation des renseignements recueillis.
Further cooperation will increase the effectiveness of intelligence collection.	La coopération accroîtrait l'efficacité de la collecte.
Political advantages	Avantages politiques
In principle, collected intelligence is used to give governments the possibility of better and better-founded decision-making.	En principe, les renseignements recueillis sont utilisés pour permettre aux gouvernements de prendre des décisions mieux fondées.
Further political and economic integration in the European Union demands that intelligence should be available at European level and should also be based on more than one single source.	L'intégration politique et économique de l'Union suppose que les renseignements soient accessibles au niveau européen, ce qui nécessite plus d'une source.
Concluding remarks	Remarques finales
These objective advantages merely illustrate the growing importance of cooperation within the European Union.	Ces avantages objectifs illustrent l'importance croissante de la coopération au sein de l'Union.
In the past nation states used to guarantee their own external security, internal order, national prosperity and cultural identity.	Les États nations d'hier assuraient chacun de leur côté leur sécurité extérieure, l'ordre public intérieur, la prospérité nationale et l'identité culturelle.
Today, the European Union is in many fields in the process of taking up a role at least complementary to that of the nation state.	Aujourd'hui, l'Union européenne prend peu à peu un rôle qui est complémentaire à celui des États nations.
It is inconceivable that the intelligence services will be the last and only area not affected by the process of European integration.	Il est exclu que les services de renseignements soient le dernier ou le seul domaine à ne pas être touché par l'intégration européenne.
Cooperation beyond EU level	Coopération au–delà de l'Union
Following the Second World War cooperation in the field of intelligence collection did not at first take place at European level, but far more at transatlantic level.	Depuis la deuxième guerre mondiale, la coopération dans le domaine de la collecte du renseignement s'est faite non au niveau européen mais au niveau transatlantique.
It has already been shown that very close relations in the field of intelligence gathering were established between the United Kingdom and the United States.	Il est déjà apparu que des relations très étroites en matière de collecte de renseignements avaient été établies entre le Royaume–Uni et les États–Unis.
But also in the field of defence intelligence within the framework of NATO and beyond, the United States was and still is the absolutely dominant partner.	Dans le domaine de la défense et dans le cadre de l'OTAN et au–delà de celui–ci, les États–Unis étaient et restent le partenaire dominant.
The major question therefore is this: will growing European cooperation in the field of intelligence gathering seriously disrupt relations with the United States, or might it lead to a strengthening of those relations?	La grande question est de savoir si le développement de la coopération européenne dans le domaine de la collecte de renseignements perturbera les relations avec les États–Unis ou entraînera le renforcement de ces relations.
How will EU/US relations develop under the new Bush Administration?	Comment les relations entre l'UE et les États–Unis évolueront–elles sous l'administration Bush?
And, in particular, how will the special relationship between the United States and the United Kingdom be maintained in this framework?	Comment les relations particulières entre les États‑Unis et le Royaume‑Uni se maintiendront‑elles dans ce contexte?
Some take the view that there need not be a contradiction between the British/US special relationship and the further development of the CFSP.	D'aucuns estiment qu'il n'y a pas nécessairement contradiction entre les relations États‑Unis Royaume‑Uni et l'évolution de la PESC.
Others believe that intelligence gathering may be precisely the issue which forces the United Kingdom to decide whether its destiny is European or transatlantic.	D'autres sont d'avis que le problème de la collecte de renseignements peut être celui qui amènera le Royaume–Uni à déterminer si sa destinée est européenne ou transatlantique.
Britain’s intimate links with the US (and with the other partners in the UKUSA Agreement) may make it more difficult for other EU states to share intelligence amongst themselves – because the United Kingdom may be less interested in intra-European sharing, and because its EU partners may trust the United Kingdom less.	Les liens étroits entre le Royaume–Uni et les États–Unis (et les autres parties à l'accord UKUSA) pourraient rendre plus difficile le partage de renseignements entre les autres États de l'Union, le Royaume–Uni se montrant peut être moins enclin à partager l'information à l'intérieur de l'Europe et les partenaires de l'UE se montrant moins confiants à l'égard du Royaume‑Uni.
Equally, if the US believes that the United Kingdom has developed special links with its EU partners, and that this is part of a European special agreement, the US may become reluctant to continue sharing its intelligence with the United Kingdom.	De la même manière, si les États–Unis estiment que le Royaume–Uni a développé des liens spéciaux avec ses partenaires de l'UE, ils pourraient hésiter à partager l'information avec le Royaume‑Uni.
Closer EU cooperation in the field of intelligence may therefore constitute a serious test of the European ambitions of the United Kingdom and of the EU’s capacity for integration.	La coopération dans le domaine du renseignement peut donc constituer une pierre de touche des ambitions européennes du Royaume–Uni ainsi que de la capacité d'intégration de l'Union elle–même.
In the present circumstances it is, however, highly unlikely that even extremely rapid progress in cooperation among the European partners can, in the short and even in the longer term, offset the technological advantage enjoyed by the United States.	Dans les circonstances actuelles, il est peu vraisemblable que même des progrès rapides de la coopération entre les partenaires européens permettent, à court et même à long terme, de remplacer l'avantage technique des États–Unis.
The European Union will not be able to establish a sophisticated network of SIGINT satellites, imaging satellites and ground stations.	L'Union européenne ne sera pas en mesure de mettre en place un réseau évolué de satellites SIGINT et de stations au sol.
The European Union will not be able to develop, in the short term, the highly sophisticated network of computers required for the selection and evaluation of the collected material.	L'Union européenne ne sera pas en mesure de mettre en place à court terme le réseau d'ordinateurs nécessaire pour faire le tri et analyser le matériel collecté.
The European Union will not be prepared to make available the budgetary resources needed to develop a true alternative to the intelligence efforts of the United States.	L'Union européenne ne sera pas disposée à mobiliser les ressources budgétaires nécessaires pour supplanter les efforts des États–Unis.
Purely from a technological and budgetary viewpoint, therefore, it will be in the interests of the European Union to maintain a close relationship with the United States in the field of intelligence collection.	Du point de vue technique et budgétaire, il est dans l'intérêt de l'Union de maintenir des relations étroites avec les États–Unis dans le domaine de la collecte du renseignement.
But also from a more political point of view, it will be important to maintain and, where necessary, strengthen relationships with the United States, in particular in the context of the joint fight against organised crime, terrorism, drugs and arms trafficking and money laundering.	Du point de vue politique aussi, il importe de maintenir et, au besoin, de renforcer les relations avec les États–Unis, notamment en ce qui concerne la lutte contre la criminalité organisée, le terrorisme, le trafic de drogue et d'armes et le blanchiment de l'argent.
Joint intelligence operations are necessary to support a joint fight.	Des opérations communes sont nécessaires pour soutenir les efforts communs.
Joint peacekeeping actions, such as in former Yugoslavia, demand a greater European contribution in all areas.	Des actions communes en matière de maintien de la paix supposent une contribution accrue de l'Europe dans tous les domaines.
On the other hand, growing European awareness should be accompanied by greater European responsibility.	Cela dit, la sensibilisation de l'Europe doit s'accompagner d'une responsabilité accrue.
The European Union should become a more equal partner, not only in the economic field, but also in the field of defence and therefore in the field of intelligence collection.	L'Union européenne doit devenir un partenaire à part égale non seulement sur le plan économique, mais aussi dans le domaine de la défense et dans celui de la collecte du renseignement.
At the same time, the European Union must make independent efforts to protect its economy and its industry against illegal and unwanted threats such as economic espionage, cyber-crime, and terrorist attacks.	Parallèlement, l'Union doit s'employer de manière autonome à protéger son économie et ses entreprises contre des menaces telles que l'espionnage économique, la cybercriminalité et les attentats terroristes.
However, transatlantic understanding is necessary in the field of industrial espionage.	Par ailleurs, la compréhension transatlantique est nécessaire dans le domaine de l'espionnage industriel.
The European Union and the United States should agree on a set of rules laying down what is and what is not allowed in this area.	L'Union européenne et les États‑Unis devraient convenir de normes concernant ce qui est autorisé et ce qui ne l'est pas dans ce domaine.
With a view to strengthening transatlantic cooperation in this field, a joint initiative could be undertaken at WTO level using that organisation’s mechanisms to safeguard fair economic development worldwide.	Pour renforcer la coopération transatlantique, une initiative commune devrait être lancée au niveau de l'OMC: il s'agirait d'utiliser les mécanismes de cette organisation pour protéger un développement économique loyal dans le monde.
Final remarks	Remarques finales
Although the issue of the protection of European citizens’ privacy must remain fundamental, the further development of a joint European Union intelligence capacity should be considered necessary and inevitable.	Le développement d'une capacité commune de l'Union européenne en matière de renseignements doit être considéré comme nécessaire et inévitable, non sans maintenir l'indispensable protection de la vie privée des citoyens européens.
Cooperation with third countries, and in particular the United States, should be maintained and, very possibly, strengthened.	La coopération avec les pays tiers, en particulier les États‑Unis, doit être maintenue et si possible renforcée.
This does not necessarily mean that European SIGINT activities should automatically be integrated in an independent European Union ECHELON system, or that the European Union should become a full partner in the present UKUSA Agreement.	Cela ne signifie pas nécessairement que les activités SIGINT de l'Europe doivent automatiquement être intégrées dans un système ECHELON indépendant pour l'Union européenne ou que l'Union doit devenir partenaire à part entière de l'accord UK/USA.
However, the development of proper European responsibility in the field of intelligence collection must be actively considered.	Toutefois, l'exercice d'une responsabilité proprement européenne dans le domaine de la collecte du renseignement doit être sérieusement envisagé.
An integrated European intelligence capacity demands, at the same time, a system of European political control over the activities of these agencies.	Une capacité européenne intégrée dans ce domaine suppose un système de contrôle politique concernant ces activités.
Decisions will have to be taken on the procedure for assessing intelligence and for taking the political decisions which result from an analysis of intelligence reports.	Des décisions devront être prises sur les moyens d'analyser les renseignements et de prendre les décisions politiques découlant de l'analyse.
The lack of such a system of political control, and therefore of political awareness and responsibility for the process of intelligence collection, would be detrimental to the process of European integration.	Faute d'un tel système de contrôle politique et donc d'une responsabilité politique, le processus de collecte d'informations porterait préjudice au processus d'intégration européenne.
The existence of a global system for intercepting private and commercial communications (the ECHELON interception system)	Existence d'un système mondial d'interception des communications privées et économiques (système ECHELON)
That a global system for intercepting communications exists, operating by means of cooperation proportionate to their capabilities among the USA, the UK, Canada, Australia and New Zealand under the UKUSA Agreement, is no longer in doubt.	L'existence d'un système mondial d'écoutes des communications fonctionnant, avec la participation des États‑Unis, des Royaume‑Uni, du Canada, de l'Australie et de la Nouvelle‑Zélande dans le cadre de l'accord UKUSA, ne fait plus de doute.
It may be assumed, in view of the evidence and the consistent pattern of statements from a very wide range of individuals and organisations, including American sources, that the system or parts of it were, at least for some time, code-named ECHELON.	Il peut être admis, eu égard aux indices disponibles et aux nombreuses déclarations concordantes émanant de milieux très divers, parmi lesquels des sources américaines, que pendant un certain temps du moins, le système ‑ ou des parties de celui-ci – a porté le nom de code ECHELON.
What is important is that its purpose is to intercept private and commercial communications, and not military communications.	Ce qui compte, c'est qu'il est utilisé pour intercepter des communications privées et économiques mais non militaires.
Analysis has revealed that the technical capabilities of the system are probably not nearly as extensive as some sections of the media had assumed.	L'analyse a montré que les possibilités techniques de ce système ne sont pas aussi grandes que ce que nombre de médias supposent.
Nevertheless, it is worrying that many senior Community figures, in particular European Commissioners, who gave evidence to the Temporary Committee, claimed to be unaware of this phenomenon.	Néanmoins, il est inquiétant de constater que de nombreux responsables de la Communauté qui ont été entendus – notamment des membres de la Commission – ont déclaré n'avoir aucune connaissance de ce système.
The limits of the interception system	Limites du système
The surveillance system depends, in particular, upon worldwide interception of satellite communications.	Le système de surveillance repose principalement sur l'interception mondiale de communications par satellite.
However, in areas characterised by a high volume of traffic only a very small proportion of those communications are transmitted by satellite.	Or, dans les régions à forte densité de communications, seule une très modeste partie des communications s'effectue par satellite.
This means that the majority of communications cannot be intercepted by earth stations, but only by tapping cables and intercepting radio signals.	Cela signifie que la majeure partie des communications ne peuvent être interceptées par des stations au sol mais uniquement par branchement sur câble ou par écoute radio.
However, inquiries have shown that the UKUSA states have access to only a very limited proportion of cable and radio communications, and, owing to the large numbers of personnel required, can analyse only an even smaller proportion of those communications.	Les investigations ont montré que les pays UKUSA n'ont accès qu'à une partie très restreinte des communications par câble ou par radio et qu'en raison du personnel nécessaire, une partie plus limitée encore des communications peut être exploitée.
However extensive the resources and capabilities for the interception of communications may be, the extremely high volume of traffic makes exhaustive, detailed monitoring of all communications impossible in practice.	Quelle que puisse être l'ampleur des moyens et capacités d'interception des communications disponibles, il est établi que le nombre extrêmement important des communications empêche, dans la pratique, un contrôle total et minutieux de l'ensemble des communications.
